tmdbId,director,top_cast
862,John Lasseter,Tom Hanks|Tim Allen|Don Rickles
10056,Stanley Kubrick,Frank Silvera|Jamie Smith|Irene Kane
967,Stanley Kubrick,Kirk Douglas|Laurence Olivier|Jean Simmons
802,Stanley Kubrick,James Mason|Sue Lyon|Shelley Winters
3175,Stanley Kubrick,Ryan O'Neal|Marisa Berenson|Hardy Krüger
147,François Truffaut,Jean-Pierre Léaud|Claire Maurier|Albert Rémy
1628,François Truffaut,Jeanne Moreau|Oskar Werner|Henri Serre
21185,Ken Kwapis,Jeff Goldblum|Cyndi Lauper|Peter Falk
11120,Peter Weir,Harrison Ford|Helen Mirren|River Phoenix
10136,Michael Ritchie,Eddie Murphy|Charles Dance|Charlotte Lewis
32060,Gene Saks,Jonathan Silverman|Blythe Danner|Stacey Glick
48259,Bruce Beresford,Diane Keaton|Jessica Lange|Sissy Spacek
873,Steven Spielberg,Whoopi Goldberg|Margaret Avery|Danny Glover
26789,Richard Pearce,Richard Gere|Kim Basinger|Jeroen Krabbé
11416,Roland Joffé,Robert De Niro|Jeremy Irons|Ray McAnally
10776,Frank Oz,Rick Moranis|Ellen Greene|Vincent Gardenia
24452,Roger Corman,Jackie Joseph|Mel Welles|Jack Nicholson
9710,Gary Nelson,Richard Chamberlain|Sharon Stone|James Earl Jones
31924,Sidney Lumet,Jane Fonda|Jeff Bridges|Raúl Juliá
30890,Woody Allen,Woody Allen|Mia Farrow|Jeff Daniels
24081,Bob Clark,Elizabeth Perkins|John Hurt|Darren McGavin
20242,Arthur Hiller,Shelley Long|Bette Midler|Peter Coyote
39074,Curtis Hanson,Steve Guttenberg|Elizabeth McGovern|Isabelle Huppert
66194,Jeffery Delman,Scott Valentine|Nicole Picard|Matt Mitler
2115,Paul Schrader,Michael J. Fox|Gena Rowlands|Joan Jett
3526,Graeme Clifford,Jessica Lange|Kim Stanley|Sam Shepard
41166,Fred Schepisi,Meryl Streep|Tracey Ullman|John Gielgud
16406,Andrew Fleming,Kirsten Dunst|Michelle Williams|Will Ferrell
10386,Brad Bird,Eli Marienthal|Jennifer Aniston|Vin Diesel
745,M. Night Shyamalan,Bruce Willis|Toni Collette|Olivia Williams
913,John McTiernan,Pierce Brosnan|Rene Russo|Denis Leary
912,Norman Jewison,Steve McQueen|Faye Dunaway|Paul Burke
67323,Tod Williams,Adrian Grenier|Clark Gregg|Aleksa Palladino
91076,John Turturro,John Turturro|Christopher Walken|Susan Sarandon
19457,James Gray,Mark Wahlberg|Joaquin Phoenix|Charlize Theron
11353,Frank Oz,Steve Martin|Eddie Murphy|Heather Graham
17707,Jonathan Kaplan,Claire Danes|Kate Beckinsale|Bill Pullman
9781,Adam Rifkin,Giuseppe Andrews|James DeBello|Edward Furlong
18212,Anne Wheeler,Karyn Dwyer|Christina Cox|Wendy Crewson
13817,Ana Kokkinos,Alex Dimitriades|Paul Capsis|Julian Garner
126996,Anna Maria Tatò,Marcello Mastroianni|Renato Berta|Manoel de Oliveira
12185,Warren Beatty,Warren Beatty|Julie Christie|James Mason
29056,Roger Corman,Vincent Price|Peter Lorre|Boris Karloff
26857,William Castle,Vincent Price|Judith Evelyn|Darryl Hickman
28501,Roger Corman,Vincent Price|John Kerr|Barbara Steele
29030,Roger Corman,Vincent Price|Elizabeth Shepherd|John Westbrook
25319,Roger Corman,Vincent Price|Hazel Court|Jane Asher
24103,Gene Wilder,Gene Wilder|Gilda Radner|Dom DeLuise
10552,Lewis Teague,Drew Barrymore|James Woods|Alan King
9267,Ian MacNaughton,Graham Chapman|John Cleese|Terry Gilliam
10766,Don Taylor,William Holden|Lee Grant|Jonathan Scott-Taylor
10768,Graham Baker,Sam Neill|Rossano Brazzi|Don Gordon
813,Jim Abrahams,Robert Hays|Julie Hagerty|Kareem Abdul-Jabbar
2665,Ken Finkleman,Robert Hays|Julie Hagerty|Lloyd Bridges
9406,Anthony Waller,Tom Everett Scott|Julie Delpy|Vince Vieluf
11418,Amy Heckerling,Chevy Chase|Beverly D'Angelo|Dana Hill
11153,Harold Ramis,Chevy Chase|Beverly D'Angelo|Imogene Coca
14170,George Roy Hill,Chevy Chase|Madolyn Smith Osborne|Kevin O'Morrison
2280,Penny Marshall,Tom Hanks|Elizabeth Perkins|Robert Loggia
11077,Dennis Dugan,John Ritter|Jack Warden|Michael Oliver
28597,Brian Levant,John Ritter|Michael Oliver|Jack Warden
22611,Masami Hata,Gabriel Damon|Mickey Rooney|Rene Auberjonois
39780,Gillian Armstrong,Ralph Fiennes|Cate Blanchett|Ciarán Hinds
10396,Robert Towne,Mel Gibson|Kurt Russell|J.T. Walsh
9944,Alan J. Pakula,Julia Roberts|Denzel Washington|Sam Shepard
850,Bob Clark,Melinda Dillon|Darren McGavin|Peter Billingsley
10154,Kelly Makin,Hugh Grant|James Caan|Jeanne Tripplehorn
10342,Kevin Williamson,Helen Mirren|Katie Holmes|Jeffrey Tambor
10366,Mic Rodgers,Jean-Claude Van Damme|Kiana Tom|Bill Goldberg
9349,Roland Emmerich,Jean-Claude Van Damme|Dolph Lundgren|Ally Walker
15122,Jeff Franklin,French Stewart|Bridgette Wilson|Bill Bellamy
10494,Satoshi Kon,Junko Iwao|Rica Matsumoto|Shinpachi Tsuji
22314,Michael Rymer,Omar Epps|LL Cool J|Nia Long
11037,Sidney J. Furie,"Louis Gossett, Jr.|Jason Gedrick|Tim Thomerson"
11955,Sidney J. Furie,"Louis Gossett, Jr.|Mark Humphrey|Stuart Margolin"
2038,John Glen,"Louis Gossett, Jr.|Rachel McLish|Paul Freeman"
11963,Sydney Pollack,Robert Redford|Faye Dunaway|Cliff Robertson
141489,Bill Colleran,Richard Burton|Hume Cronyn|Alfred Drake
9096,John McTiernan,Sean Connery|Lorraine Bracco|José Wilker
113273,Nanette Burstein,
1911,John McTiernan,Antonio Banderas|Vladimir Kulich|Dennis Storhøi
2900,Rand Ravich,Johnny Depp|Charlize Theron|Joe Morton
17709,Hugh Wilson,Brendan Fraser|Sarah Jessica Parker|Alfred Molina
37718,Albert Brooks,Albert Brooks|Sharon Stone|Andie MacDowell
30964,Chris Menges,Daniel Auteuil|Nastassja Kinski|Katrin Cartlidge
2162,Hugh Johnson,Cuba Gooding Jr.|Skeet Ulrich|Peter Firth
14578,Michael Corrente,Shawn Hatosy|Amy Smart|Alec Baldwin
40694,Rose Troche,James Purefoy|Harriet Walter|Jennifer Ehle
49184,Ziad Doueiri,Rami Doueiri|Naamar Sahli|Mohamad Chamas
10307,Rupert Wainwright,Patricia Arquette|Gabriel Byrne|Jonathan Pryce
11601,David Koepp,Kevin Bacon|Kathryn Erbe|Illeana Douglas
1075,Emir Kusturica,Bajram Severdzhan|Srđan Todorović|Zabit Memedov
21719,Hampton Fancher,Owen Wilson|Brian Cox|Sheryl Crow
40879,Marc Levin,Danny Hoch|Piper Perabo|Dr. Dre
47951,Masanori Hata,Dudley Moore|Kyoko Koizumi|Milo
43832,Howard Hawks,Cary Grant|Jean Arthur|Richard Barthelmess
47697,Orson Welles,Orson Welles|Micheál MacLiammóir|Robert Coote
49792,Steve Rash,Kevin Bacon|Jamie Lee Curtis|Linda Fiorentino
77064,Bryan Singer,Ron Marquette|Burt Williams|Leigh Hunt
26522,Norman Jewison,Howard Rollins|Adolph Caesar|Art Evans
23761,Alfred Sole,Linda Miller|Mildred Clinton|Paula E. Sheppard
42114,Joseph Sargent,Cristina Raines|Emilio Estevez|Lance Henriksen
28295,William Castle,Joan Crawford|John Ireland|Leif Erickson
12105,George Dunning,Paul Angelis|John Lennon|Paul McCartney
14,Sam Mendes,Kevin Spacey|Annette Bening|Thora Birch
24128,Jonathan Demme,David Byrne|Tina Weymouth|Chris Frantz
11001,Les Mayfield,Martin Lawrence|Luke Wilson|Dave Chappelle
10390,Sam Raimi,Kevin Costner|Kelly Preston|John C. Reilly
9453,Tinto Brass,Malcolm McDowell|Teresa Ann Savoy|Helen Mirren
704,Richard Lester,John Lennon|Paul McCartney|George Harrison
35122,Gregg Araki,Kathleen Robertson|Matt Keeslar|Kelly Macdonald
24153,Steve Rash,Gary Busey|Don Stroud|Charles Martin Smith
11797,Tom Holland,Chris Sarandon|William Ragsdale|Amanda Bearse
18086,Tommy Lee Wallace,Roddy McDowall|William Ragsdale|Traci Lind
124475,Christian Vincent,Isabelle Huppert|Daniel Auteuil|Karin Viard
17887,Gene Saks,Robert Redford|Jane Fonda|Charles Boyer
10669,John Boorman,Jon Voight|Burt Reynolds|Ned Beatty
11527,John Boorman,Nigel Terry|Helen Mirren|Nicholas Clay
40867,George Abbott,Doris Day|John Raitt|Carol Haney
1049,Jon Amiel,Jodie Foster|Richard Gere|Bill Pullman
28032,Gary Goldman,Jodi Benson|Gino Conforti|Barbara Cook
11326,Ken Russell,Oliver Reed|Ann-Margret|Roger Daltrey
28377,Tom DeSimone,Linda Blair|Vince Van Patten|Peter Barton
10975,Jackie Chan,Jackie Chan|Carol Cheng|Eva Cobo
10974,Jackie Chan,Jackie Chan|Alan Tam|Rosamund Kwan
10398,Bruce Beresford,Tommy Lee Jones|Ashley Judd|Bruce Greenwood
2290,Peter Kassovitz,Robin Williams|Armin Mueller-Stahl|Hannah Taylor-Gordon
24071,Lawrence Kasdan,Loren Dean|Hope Davis|Jason Lee
62994,Bruce McCulloch,Natasha Henstridge|Luke Wilson|Janeane Garofalo
60994,Audrey Wells,Sarah Polley|Stephen Rea|Jean Smart
16112,Gary Halvorson,Kevin Clash|Mandy Patinkin|Vanessa Williams
32305,Kevin Elders,Dennis Rodman|Dane Cook|John Pinette
14429,John Schultz,Melissa Joan Hart|Stephen Collins|Adrian Grenier
15198,Jay Roach,Russell Crowe|Hank Azaria|Mary McCormack
6415,David O. Russell,George Clooney|Mark Wahlberg|Ice Cube
24066,Mark Illsley,Steve Zahn|William H. Macy|Jeremy Northam
21430,Abel Ferrara,Christopher Walken|Willem Dafoe|Asia Argento
10381,Jake Scott,Jonny Lee Miller|Robert Carlyle|Liv Tyler
171982,Andy Mingo,Brian Allard|Amber Arrigotti|Robynn Hayek
5622,Federico Fellini,Freddie Jones|Barbara Jefford|Fred Williams
10349,George A. Romero,Timothy Hutton|Amy Madigan|Michael Rooker
42518,Dave Fleischer,Lanny Ross|Sam Parker|Pinto Colvig
29787,George A. Romero,Jason Beghe|John Pankow|Kate McNeil
9638,Don Coscarelli,Angus Scrimm|A. Michael Baldwin|Bill Thornbury
10576,Richard Franklin,Anthony Perkins|Vera Miles|Meg Tilly
12662,Anthony Perkins,Anthony Perkins|Diana Scarwid|Jeff Fahey
61369,Lewis Milestone,Joan Crawford|Walter Huston|Matt Moore
11712,Akira Kurosawa,Toshirō Mifune|Tatsuya Nakadai|Keiju Kobayashi
12618,Sydney Pollack,Harrison Ford|Kristin Scott Thomas|Charles S. Dutton
13824,Bruce McCulloch,Molly Shannon|Will Ferrell|Elaine Hendrix
226,Kimberly Peirce,Hilary Swank|Chloë Sevigny|Peter Sarsgaard
10388,Steven Soderbergh,Terence Stamp|Lesley Ann Warren|Luis Guzmán
17198,Jeff Abugov,Carmen Electra|Mackenzie Astin|David Hyde Pierce
9346,Paul Brickman,Tom Cruise|Rebecca De Mornay|Sean Penn
861,Paul Verhoeven,Arnold Schwarzenegger|Sharon Stone|Rachel Ticotin
14412,Lawrence Kasdan,William Hurt|Kathleen Turner|Richard Crenna
9377,John Hughes,Matthew Broderick|Alan Ruck|Mia Sara
11541,Peter Weir,Mel Gibson|Sigourney Weaver|Linda Hunt
2457,Marcel Carné,Arletty|Jean-Louis Barrault|Pierre Brasseur
11901,Clint Eastwood,Clint Eastwood|Verna Bloom|Marianna Hill
4929,Ted Post,Clint Eastwood|Inger Stevens|Ed Begley
85325,Jonathan Demme,Paul Le Mat|Candy Clark|Bruce McGill
11230,Yuen Woo-ping,Jackie Chan|Yuen Siu-Tin|Hwang Jang-Lee
8416,Bernardo Bertolucci,Jean-Louis Trintignant|Stefania Sandrelli|Gastone Moschin
11054,John Waters,Sonny Bono|Ruth Brown|Divine
851,David Lean,Celia Johnson|Trevor Howard|Stanley Holloway
24453,John Byrum,Bill Murray|Theresa Russell|Catherine Hicks
18254,Warren Beatty,Warren Beatty|Diane Keaton|Edward Herrmann
56235,Freida Lee Mock,Everett Alvarez|Ron Bliss|Fred Cherry
16642,Terrence Malick,Richard Gere|Brooke Adams|Linda Manz
3086,Preston Sturges,Barbara Stanwyck|Henry Fonda|Charles Coburn
16305,Preston Sturges,Joel McCrea|Veronica Lake|Robert Warwick
32255,Preston Sturges,Claudette Colbert|Joel McCrea|Mary Astor
48797,Eliseo Subiela,Lorenzo Quinteros|Hugo Soto|Inés Vernengo
19997,Henry Hathaway,Marilyn Monroe|Joseph Cotten|Jean Peters
3767,Charles Vidor,Rita Hayworth|Glenn Ford|George Macready
17352,Joshua Logan,Rossano Brazzi|Mitzi Gaynor|John Kerr
535,Adrian Lyne,Jennifer Beals|Michael Nouri|Lilia Skala
2731,Régis Wargnier,Catherine Deneuve|Vincent Pérez|Linh Đan Phạm
1654,Robert Aldrich,Lee Marvin|Ernest Borgnine|Charles Bronson
31043,James Bridges,Debra Winger|Mark Keyloun|Darrell Larson
14831,Richard Lester,George Harrison|John Lennon|Paul McCartney
658,Guy Hamilton,Sean Connery|Honor Blackman|Gert Fröbe
657,Terence Young,Sean Connery|Daniela Bianchi|Pedro Armendáriz
646,Terence Young,Sean Connery|Ursula Andress|Joseph Wiseman
5689,Randal Kleiser,Brooke Shields|Christopher Atkins|Leo McKern
391,Sergio Leone,Clint Eastwood|Marianne Koch|Gian Maria Volonté
8052,Paul Thomas Anderson,Philip Baker Hall|Gwyneth Paltrow|John C. Reilly
772,Chris Columbus,Macaulay Culkin|Joe Pesci|Catherine O'Hara
31650,Ridley Scott,Tom Berenger|Mimi Rogers|Lorraine Bracco
550,David Fincher,Edward Norton|Brad Pitt|Meat Loaf
12220,Rob Reiner,Bruce Willis|Michelle Pfeiffer|Rob Reiner
1610,David Evans,Colin Firth|Ruth Gemmell|Mark Strong
42881,Harmony Korine,Ewen Bremner|Brian Fisk|Werner Herzog
404,David Lynch,Richard Farnsworth|Sissy Spacek|Jane Galloway Heitz
42196,Mervyn LeRoy,Patty McCormack|Eileen Heckart|Henry Jones
36819,Terry Gilliam,Sean Connery|John Cleese|Shelley Duvall
42726,Claude Lelouch,Jean-Louis Trintignant|Anouk Aimée|Pierre Barouh
9343,Werner Herzog,Klaus Kinski|José Lewgoy|Miguel Ángel Fuentes
16858,Bob Fosse,Roy Scheider|Jessica Lange|Leland Palmer
42006,Zhang Yimou,Gong Li|Jiang Wen|Rujun Ten
11562,Woody Allen,Woody Allen|Martin Landau|Anjelica Huston
10496,Louis Morneau,Lou Diamond Phillips|Dina Meyer|Bob Gunton
16162,Malcolm D. Lee,Nia Long|Моррис Честнат|Harold Perrineau
8649,Martin Scorsese,Nicolas Cage|Patricia Arquette|John Goodman
31306,Antonio Banderas,Melanie Griffith|David Morse|Lucas Black
10563,Damon Santostefano,Matthew Perry|Neve Campbell|Dylan McDermott
14484,Michael Cristofer,Jerry O'Connell|Amanda Peet|Sean Patrick Flanery
94857,Philippe Mora,James Cagney|Laverne Andrews|Patty Andrews
32043,William Friedkin,Jenny Seagrove|Dwier Brown|Carey Lowell
15247,Sidney J. Furie,Michael Caine|Nigel Green|Guy Doleman
29251,Bruce Brown,Steve McQueen|Bruce Brown|David Evans
5548,Paul Verhoeven,Peter Weller|Nancy Allen|Ronny Cox
5549,Irvin Kershner,Peter Weller|Nancy Allen|Tom Noonan
856,Robert Zemeckis,Bob Hoskins|Christopher Lloyd|Joanna Cassidy
38772,Jonathan Demme,Jason Robards|Paul Le Mat|Elizabeth Cheshire
699,John Glen,Roger Moore|Carole Bouquet|Chaim Topol
709,John Glen,Timothy Dalton|Carey Lowell|Robert Davi
253,Guy Hamilton,Roger Moore|Yaphet Kotto|Jane Seymour
13511,George Pavlou,David Dukes|Niall Toibin|Cora Lunny
660,Terence Young,Sean Connery|Claudine Auger|Adolfo Celi
11377,William Malone,Geoffrey Rush|Famke Janssen|Taye Diggs
26149,Wes Craven,Meryl Streep|Angela Bassett|Cloris Leachman
492,Spike Jonze,John Cusack|Cameron Diaz|Catherine Keener
108346,Eric Styles,Rupert Graves|Samantha Morton|Nicholas Woodeson
128,Hayao Miyazaki,Yōji Matsuda|Yuriko Ishida|Yūko Tanaka
46286,Donal Lardner Ward,Jennifer Love Hewitt|Bridgette Wilson|Craig Bierko
8672,Werner Herzog,Werner Herzog|Klaus Kinski|Claudia Cardinale
8056,Radu Mihaileanu,Lionel Abelanski|Rufus|Clément Harari
2020,Gary Sinyor,Chris O'Donnell|Renée Zellweger|Artie Lange
9481,Phillip Noyce,Denzel Washington|Angelina Jolie|Queen Latifah
9008,Michael Mann,Al Pacino|Russell Crowe|Christopher Plummer
14242,Chris Smith,Mark Borchardt|Mike Schank|Tom Schimmels
16129,Don McKellar,Don McKellar|Sandra Oh|Roberta Maxwell
11489,Jean-Pierre Dardenne,Émilie Dequenne|Olivier Gourmet|Fabrizio Rongione
28145,Sydney Pollack,Jane Fonda|Michael Sarrazin|Susannah York
18111,Brian Yuzna,Jeffrey Combs|Bruce Abbott|Claude Earl Jones
11223,Michael Crichton,Geneviève Bujold|Michael Douglas|Elizabeth Ashley
16281,George A. Romero,Hal Holbrook|Adrienne Barbeau|Fritz Weaver
16288,Michael Gornick,George Kennedy|Dorothy Lamour|Lois Chiles
1694,Stuart Gordon,Jeffrey Combs|Bruce Abbott|Barbara Crampton
476,Gus Van Sant,Matt Dillon|Kelly Lynch|James Le Gros
37094,Joel Schumacher,Michael Douglas|Robert Duvall|Barbara Hershey
13555,Tobe Hooper,Elizabeth Berridge|Shawn Carson|Jeanne Austin
961,Buster Keaton,Buster Keaton|Marion Mack|Glen Cavender
24831,Joe Dante,Heather Menzies|Kevin McCarthy|Dick Miller
64963,Arnold Laven,Dean Martin|George Peppard|Jean Simmons
25560,Franco Zeffirelli,Elizabeth Taylor|Richard Burton|Cyril Cusack
21610,Bruce Malmuth,Sylvester Stallone|Rutger Hauer|Billy Dee Williams
11878,Akira Kurosawa,Toshirō Mifune|Tatsuya Nakadai|Yôko Tsukasa
11510,Bob Logan,Linda Blair|Ned Beatty|Leslie Nielsen
11234,Boris Sagal,Charlton Heston|Anthony Zerbe|Rosalind Cash
957,Mel Brooks,Mel Brooks|Rick Moranis|Bill Pullman
11886,Wolfgang Reitherman,Brian Bedford|Phil Harris|Peter Ustinov
37853,John Ford,Henry Fonda|James Cagney|William Powell
62204,Jean-Jacques Annaud,Everett McGill|Ron Perlman|Nicholas Kadi
11040,Arthur Penn,Dustin Hoffman|Faye Dunaway|Chief Dan George
21849,Elia Kazan,Andy Griffith|Patricia Neal|Walter Matthau
1621,John Landis,Eddie Murphy|Dan Aykroyd|Jamie Lee Curtis
14035,Ivan Reitman,Bill Murray|Harvey Atkin|Kate Lynch
40771,Ken Wiederhorn,Richard Mulligan|Hamilton Camp|John Mengatti
40772,George Mendeluk,Patrick Dempsey|Sally Kellerman|Isabelle Mejias
40773,Bob Logan,Corey Feldman|Jack Nance|Sarah Douglas
11498,Kenneth Branagh,Kenneth Branagh|Derek Jacobi|Andy García
11790,Kenneth Branagh,Kenneth Branagh|Emma Thompson|Stephen Fry
29371,Maria Maggenti,Laurel Holloman|Maggie Moore|Kate Stafford
276635,Peter Duffell,Elizabeth Edmonds|Sue Wallace|Geraldine Griffiths
47941,Steve Rash,Chevy Chase|Carrie Fisher|Eve Arden
21349,Wayne Wang,Susan Sarandon|Natalie Portman|Hart Bochner
1832,Kevin Smith,Ben Affleck|Matt Damon|Linda Fiorentino
10047,Luc Besson,Milla Jovovich|Dustin Hoffman|Faye Dunaway
10228,Michael Haigney,Rica Matsumoto|Mayumi Iizuka|Yūji Ueda
47692,Atom Egoyan,Bob Hoskins|Elaine Cassidy|Arsinée Khanjian
144953,Daniel Pyne,Miguel Ferrer|John Livingston|Yasiin Bey
11663,Alan Parker,Robert Arkins|Michael Aherne|Angeline Ball
13485,Mark Sandrich,Bing Crosby|Fred Astaire|Marjorie Reynolds
9289,Bernhard Wicki,Eddie Albert|Paul Anka|Arletty
9264,Katt Shea,Sara Gilbert|Drew Barrymore|Tom Skerritt
18222,Kurt Voss,Jaime Pressly|Megan Edwards|Michael Des Barres
11165,Richard Fleischer,Martin Balsam|Sô Yamamura|Joseph Cotten
4203,Pedro Almodóvar,Carmen Maura|Antonio Banderas|Julieta Serrano
24226,Sidney Lumet,Paul Newman|Charlotte Rampling|Jack Warden
88875,Paul Newman,Joanne Woodward|Roberta Wallach|Judith Lowry
11379,W.D. Richter,Peter Weller|John Lithgow|Ellen Barkin
29154,Ramón Menéndez,Edward James Olmos|Lou Diamond Phillips|Rosanna DeSoto
2039,Norman Jewison,Cher|Nicolas Cage|Vincent Gardenia
11943,Sydney Pollack,Robert Redford|Will Geer|Delle Bolton
11481,Roman Polanski,Catherine Deneuve|Ian Hendry|John Fraser
2690,Billy Wilder,Jack Lemmon|Shirley MacLaine|Lou Jacobi
20565,Michael Apted,Bruce Balden|Jacqueline Bassett|Symon Basterfield
27141,Barry Levinson,Adrien Brody|Ben Foster|Orlando Jones
10399,Patricia Rozema,Frances O'Connor|Lindsay Duncan|James Purefoy
2668,Tim Burton,Johnny Depp|Ian McDiarmid|Christina Ricci
36643,Michael Apted,Pierce Brosnan|Sophie Marceau|Robert Carlyle
99,Pedro Almodóvar,Cecilia Roth|Marisa Paredes|Penélope Cruz
25898,Charley Rogers,Stan Laurel|Oliver Hardy|Charlotte Henry
9647,Richard Donner,Bill Murray|Karen Allen|John Forsythe
11787,Henry Koster,James Stewart|Josephine Hull|Peggy Dow
5156,Vittorio De Sica,Lamberto Maggiorani|Enzo Staiola|Lianella Carell
24276,John Sayles,Chris Cooper|James Earl Jones|Mary McDonnell
11953,Akira Kurosawa,Tatsuya Nakadai|Tsutomu Yamazaki|Jinpachi Nezu
29005,Robert Altman,Warren Beatty|Julie Christie|Rene Auberjonois
26371,James Ivory,James Wilby|Hugh Grant|Rupert Graves
596,John Ford,Henry Fonda|Jane Darwell|John Carradine
52470,Henry Koster,June Allyson|David Niven|Jessie Royce Landis
20334,Ernst Lubitsch,Margaret Sullavan|James Stewart|Frank Morgan
11393,Barry Levinson,Robert Redford|Glenn Close|Kim Basinger
31121,Hal Ashby,Warren Beatty|Julie Christie|Goldie Hawn
293,Robert Redford,Brad Pitt|Craig Sheffer|Tom Skerritt
10998,Adrian Lyne,Michael Douglas|Glenn Close|Anne Archer
12235,Richard Marquand,Glenn Close|Jeff Bridges|Peter Coyote
36094,Martin Ritt,Jane Fonda|Robert De Niro|Swoosie Kurtz
9013,Martin Brest,Robert De Niro|Charles Grodin|Yaphet Kotto
11005,Penny Marshall,Robert De Niro|Robin Williams|John Heard
59820,Alan Parker,Dennis Quaid|Tamlyn Tomita|Sab Shimono
2924,Ron Howard,Kurt Russell|William Baldwin|Robert De Niro
177,Terry Gilliam,Jeff Bridges|Robin Williams|Mercedes Ruehl
38557,Mark Rydell,Mel Gibson|Sissy Spacek|Scott Glenn
42087,Richard Pearce,Jessica Lange|Sam Shepard|Wilford Brimley
13681,Robert Benton,Sally Field|Lindsay Crouse|John Malkovich
34760,Tom Moore,Sissy Spacek|Anne Bancroft|Ed Berke
9946,Peter Hyams,Arnold Schwarzenegger|Gabriel Byrne|Kevin Pollak
863,John Lasseter,Tom Hanks|Tim Allen|Joan Cusack
31582,Joel Schumacher,Robert De Niro|Philip Seymour Hoffman|Barry Miller
125520,Mike Figgis,Saffron Burrows|Peter Mullan|Maria Doyle Kennedy
22267,Ang Lee,Tobey Maguire|Skeet Ulrich|Jeffrey Wright
55123,Gavin O'Connor,Janet McTeer|Kimberly J. Brown|Jennifer Paige
10411,Jonathan Lynn,Eddie Murphy|Lane Smith|Sheryl Lee Ralph
41462,Ida Lupino,Edmond O'Brien|Frank Lovejoy|William Talman
1718,Michael Curtiz,Errol Flynn|Olivia de Havilland|Alan Hale
20024,Neil Jordan,Ralph Fiennes|Stephen Rea|Julianne Moore
13787,Jane Campion,Kate Winslet|Harvey Keitel|Julie Hamilton
54933,Scott Elliott,Sigourney Weaver|David Strathairn|Julianne Moore
9684,Woody Allen,Woody Allen|Ben Duncan (DJ)|Daniel Okrent
9586,Brian De Palma,Tom Hanks|Bruce Willis|Melanie Griffith
33015,Buster Keaton,Buster Keaton|Howard Truesdale|Kathleen Myers
777,Jean Renoir,Jean Gabin|Dita Parlo|Pierre Fresnay
21887,Lewis John Carlino,Robert Duvall|Blythe Danner|Michael O'Keefe
5652,Robert Altman,Martin Gabel|James Dean|Lew Bracker
32331,Steven Kampmann,Jodie Foster|Mark Harmon|Harold Ramis
32628,Edward F. Cline,Buster Keaton|Margaret Leahy|Wallace Beery
32669,Jack Nicholson,Jack Nicholson|Harvey Keitel|Meg Tilly
18161,Phil Joanou,Bono|The Edge| Larry Mullen Jr.
31681,John Boorman,Lee Marvin|Toshirō Mifune
33666,Frank Tashlin,Doris Day|Rod Taylor|Arthur Godfrey
32274,Tim Robbins,Hank Azaria|Rubén Blades|Joan Cusack
10402,Mike Mitchell,Rob Schneider|William Forsythe|Eddie Griffin
497,Frank Darabont,Tom Hanks|Michael Clarke Duncan|David Morse
1715,Lasse Hallström,Tobey Maguire|Charlize Theron|Delroy Lindo
42739,Tim Roth,Ray Winstone|Tilda Swinton|Lara Belmont
25188,Peter Bogdanovich,Timothy Bottoms|Jeff Bridges|Cybill Shepherd
15515,Nathan H. Juran,Kerwin Mathews|Kathryn Grant|Torin Thatcher
1439,Andy Tennant,Jodie Foster|Chow Yun-fat|Bai Ling
2277,Chris Columbus,Robin Williams|Sam Neill|Embeth Davidtz
10137,Rob Minkoff,Michael J. Fox|Geena Davis|Hugh Laurie
10387,Chen Kaige,Gong Li|Zhang Fengyi|Sun Zhou
49948,James Algar,Steve Martin|Itzhak Perlman|Quincy Jones
334,Paul Thomas Anderson,Julianne Moore|William H. Macy|John C. Reilly
30237,Martha Fiennes,Ralph Fiennes|Liv Tyler|Toby Stephens
46435,Mike Leigh,Allan Corduner|Jim Broadbent|Timothy Spall
22213,James B. Harris,Wesley Snipes|Dennis Hopper|Lolita Davidovich
47070,Robert Ellis Miller,Brooke Shields|Timothy Dalton|Tony Peck
36492,Mike Nichols,Jack Nicholson|Candice Bergen|Art Garfunkel
624,Dennis Hopper,Peter Fonda|Dennis Hopper|Antonio Mendoza
26578,John Schlesinger,Timothy Hutton|Sean Penn|Pat Hingle
43103,Jack Clayton,Simone Signoret|Laurence Harvey|Heather Sears
9563,Oliver Stone,Al Pacino|Cameron Diaz|Dennis Quaid
1850,Miloš Forman,Jim Carrey|Courtney Love|Bob Zmuda
926,Dean Parisot,Tim Allen|Sigourney Weaver|Alan Rickman
1213,Anthony Minghella,Matt Damon|Gwyneth Paltrow|Jude Law
10471,Steve Carr,Ice Cube|Mike Epps|Justin Pierce
10400,Norman Jewison,Denzel Washington|Vicellous Reon Shannon|Deborah Kara Unger
10397,Alan Parker,Emily Watson|Robert Carlyle|Joe Breen
20761,Ron Shelton,Antonio Banderas|Woody Harrelson|Lolita Davidovich
12524,Julie Taymor,Anthony Hopkins|Jessica Lange|Jonathan Rhys Meyers
28216,Errol Morris,Fred A. Leuchter Jr.|Robert Jan Van Pelt|David Irving
36773,Agnieszka Holland,Ed Harris|Anne Heche|Armin Mueller-Stahl
10219,Scott Hicks,Ethan Hawke|Youki Kudoh|Reeve Carney
3558,James Mangold,Winona Ryder|Angelina Jolie|Clea DuVall
41276,Aviva Kempner,
17908,Jay Russell,Frankie Muniz|Diane Lane|Kevin Bacon
10384,Walter Hill,James Spader|Angela Bassett|Robert Forster
